axis,multiplicity_bin,quantity,data,data_err,mc,mc_err,data_over_mc,data_over_mc_err,mc_over_data,mc_over_data_err
beam,0_10,hV2TwoSub_2,0.7458521086,0.0003829326172,0.7460527597,0.0004984874972,0.9997310498,0.0008424137549,1.000269023,0.0008428670726
beam,10_15,hV2TwoSub_2,0.7329262524,0.0002847081828,0.7348182469,0.000162048534,0.9974252211,0.0004455371094,1.002581426,0.00044784032
beam,15_20,hV2TwoSub_2,0.6732747523,0.0002374304592,0.6751473769,0.0004122179082,0.9972263469,0.0007031298113,1.002781368,0.0007070465756
beam,20_25,hV2TwoSub_2,0.572763908,0.0006482119922,0.576412634,0.0004524366435,0.993669941,0.001368561923,1.006370384,0.001386053992
beam,25_30,hV2TwoSub_2,0.4595714899,0.00141646073,0.4584379297,0.002165495588,1.002472658,0.005654187446,0.9975334408,0.00562632907
beam,30_35,hV2TwoSub_2,0.3415755769,0.00505489008,0.3461821186,0.006413536589,0.9866932997,0.02339593977,1.013486157,0.02403123755
beam,35_40,hV2TwoSub_2,0.2721595667,0.01778209685,0.242000165,0.02044696117,1.124625542,0.1201179241,0.8891848555,0.09497120152
beam,40_999,hV2TwoSub_2,0.3250803036,0.06542597866,0.2299566925,0.0623751129,1.413658807,0.4774757559,0.7073842677,0.2389252882
beam,0_10,hV2TwoSub_4,0.7087596858,0.0006886669498,0.709549315,0.0007124321135,0.9988871398,0.00139567362,1.0011141,0.001398785193
beam,10_15,hV2TwoSub_4,0.6945792619,0.0004104872339,0.6972395861,0.0002838698672,0.9961844906,0.0007149131753,1.003830123,0.0007204000742
beam,15_20,hV2TwoSub_4,0.6014646601,0.0003551625003,0.6035446262,0.0007884065255,0.9965537493,0.001428617666,1.003458168,0.001438515552
beam,20_25,hV2TwoSub_4,0.3859512184,0.003302141831,0.3921343054,0.003098771766,0.9842322212,0.0114632137,1.016020385,0.01183344595
beam,25_30,hV2TwoSub_4,0,0,0,0,0,0,0,0
beam,30_35,hV2TwoSub_4,0,0,0,0,0,0,0,0
beam,35_40,hV2TwoSub_4,0,0,0.3088542529,0.0778967804,0,0,0,0
beam,40_999,hV2TwoSub_4,0.5491380619,0.08170600193,0,0,0,0,0,0
beam,0_10,hV2TwoSub_6,0.704623923,0.0007962200742,0.7053374541,0.0006636256079,0.9989883833,0.001468922814,1.001012641,0.001471899303
beam,10_15,hV2TwoSub_6,0.6899178945,0.0004405650304,0.6928509297,0.0003366294503,0.9957667153,0.0007989999766,1.004251282,0.000805807965
beam,15_20,hV2TwoSub_6,0.5878415978,0.0004474219539,0.5900574883,0.0009209580898,0.9962446192,0.001729967033,1.003769537,0.001743033964
beam,20_25,hV2TwoSub_6,0,0,0,0,0,0,0,0
beam,25_30,hV2TwoSub_6,0,0,0,0,0,0,0,0
beam,30_35,hV2TwoSub_6,0,0,0.3532521656,0.03835984703,0,0,0,0
beam,35_40,hV2TwoSub_6,0,0,0.3891324216,0.07569414076,0,0,0,0
beam,40_999,hV2TwoSub_6,0.5540834639,0.1225855842,0,0,0,0,0,0
beam,0_10,hV2TwoSub_8,0.7037249071,0.0008057745475,0.7044061956,0.0006493701948,0.9990328187,0.001468577685,1.000968118,0.001471422573
beam,10_15,hV2TwoSub_8,0.6889729681,0.0004552291176,0.6919616761,0.0003538237495,0.9956808187,0.0008318760416,1.004337918,0.0008391089149
beam,15_20,hV2TwoSub_8,0.5838378597,0.0005168991771,0.5862586126,0.0009815338235,0.9958708446,0.001886090372,1.004146276,0.001901763299
beam,20_25,hV2TwoSub_8,0,0,0,0,0,0,0,0
beam,25_30,hV2TwoSub_8,0,0,0,0,0,0,0,0
beam,30_35,hV2TwoSub_8,0.3824533554,0.0187067724,0.3874895732,0.02031007455,0.9870029592,0.07076005111,1.013168188,0.07263588434
beam,35_40,hV2TwoSub_8,0,0,0,0,0,0,0,0
beam,40_999,hV2TwoSub_8,0.5462439239,0.106673216,0,0,0,0,0,0
