axis,multiplicity_bin,quantity,data,data_err,mc,mc_err,data_over_mc,data_over_mc_err
beam,0_10,hV2_2,0.4875650295,0.005820689773,0.4953926232,0.006244624655,0.9841992123,0.01708709461
beam,10_15,hV2_2,0.4573263669,0.001224130676,0.4588642317,0.000745989638,0.9966485408,0.003121242241
beam,15_20,hV2_2,0.4366829744,0.0005946442071,0.4398656992,0.00053807038,0.9927643259,0.001817239973
beam,20_25,hV2_2,0.4217144319,0.0005089538324,0.4247258413,0.0003799414891,0.9929097571,0.001491601532
beam,25_30,hV2_2,0.410362569,0.000553074551,0.4132199728,0.0007596982735,0.9930850296,0.00226382186
beam,30_35,hV2_2,0.397100784,0.001226824919,0.4050985216,0.0014572462,0.9802573025,0.004648222286
beam,35_40,hV2_2,0.3850518314,0.002485098764,0.3866688976,0.004926264711,0.9958179566,0.01422199709
beam,40_999,hV2_2,0.3985922013,0.01743982524,0.3842598643,0.01765565124,1.037298553,0.06581342881
beam,0_10,hV2_4,0.4001238877,0.01160195128,0.4260443196,0.009934780307,0.9391602453,0.0349453656
beam,10_15,hV2_4,0.3834781909,0.002323250934,0.382021194,0.001576459394,1.003813916,0.007358226374
beam,15_20,hV2_4,0.3644140774,0.001068496496,0.3649045737,0.001065941507,0.9986558231,0.00413331369
beam,20_25,hV2_4,0.3525401281,0.000937863739,0.3546742848,0.0007261073385,0.9939827701,0.003336652559
beam,25_30,hV2_4,0.3458779872,0.0008757428244,0.3460463769,0.001005268686,0.9995133899,0.003851671139
beam,30_35,hV2_4,0.33500796,0.002186198745,0.3399503055,0.002614683814,0.9854615649,0.009940146995
beam,35_40,hV2_4,0.3161602643,0.004007001287,0.3226064413,0.006115412667,0.980018449,0.02234719466
beam,40_999,hV2_4,0.3356778719,0.02557761489,0.3004612208,0.03299227897,1.11720864,0.1493186221
beam,0_10,hV2_6,0.3952869585,0.01662409332,0.4141209195,0.01178042097,0.9545206241,0.0484639757
beam,10_15,hV2_6,0.3743879015,0.002643764914,0.3710927434,0.001888248094,1.008879608,0.008781135096
beam,15_20,hV2_6,0.3569228442,0.001316744028,0.3572813127,0.001172583352,0.998996677,0.004932772046
beam,20_25,hV2_6,0.3472969438,0.001025273307,0.3488104973,0.0007086997765,0.9956608144,0.003568198272
beam,25_30,hV2_6,0.340653326,0.001108989936,0.3409844221,0.001220445495,0.9990289993,0.004833555338
beam,30_35,hV2_6,0.3294222006,0.002572110308,0.3339434055,0.003083594619,0.9864611642,0.01192878384
beam,35_40,hV2_6,0.3077729155,0.005365876303,0.3135515103,0.005801692955,0.981570509,0.02495448175
beam,40_999,hV2_6,0.3268267987,0.02881187309,0.288919794,0.03888893286,1.131202519,0.1820112113
beam,0_10,hV2_8,0.3976252083,0.01710087253,0.4115655698,0.01345609195,0.9661284556,0.05219421166
beam,10_15,hV2_8,0.3730782303,0.002825119474,0.3690003595,0.002135430979,1.01105113,0.009635922575
beam,15_20,hV2_8,0.356023559,0.001376383967,0.356240696,0.001214783563,0.9993904768,0.00515185954
beam,20_25,hV2_8,0.3468996606,0.001042350951,0.3481723575,0.0007114644317,0.9963446353,0.003620473599
beam,25_30,hV2_8,0.3401118523,0.001196853142,0.3404970561,0.001301940326,0.9988687015,0.005190622218
beam,30_35,hV2_8,0.3284265627,0.002644565712,0.3325214487,0.00313878618,0.9876853477,0.01225445306
beam,35_40,hV2_8,0.3064681512,0.005882182633,0.3115046357,0.005782725322,0.9838317512,0.02627043076
beam,40_999,hV2_8,0.326671413,0.0289611519,0.2901216087,0.03428044395,1.125980979,0.1663302315
